,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
25,A,17.08.2019 19:55,SU,1227,D,1,GOJ,SU9,87,53,206
26,D,17.08.2019 6:00,SU,1228,D,1,GOJ,SU9,87,72,89
27,A,17.08.2019 9:25,SU,1229,D,1,GOJ,SU9,87,70,206
28,D,17.08.2019 9:30,SU,1230,D,1,UFA,SU9,87,84,205
29,A,17.08.2019 14:55,SU,1231,D,1,UFA,SU9,87,84,206
30,D,17.08.2019 18:05,SU,1260,D,1,UFA,SU9,87,48,205
31,A,17.08.2019 23:35,SU,1261,D,1,UFA,SU9,87,38,205
32,D,17.08.2019 10:45,SU,1286,D,1,ULV,SU9,87,85,217
33,A,17.08.2019 15:00,SU,1287,D,1,ULV,SU9,87,72,205
34,D,17.08.2019 1:50,SU,1288,D,1,ULV,SU9,87,82,191
35,A,17.08.2019 6:55,SU,1289,D,1,ULV,SU9,87,59,210
36,D,17.08.2019 16:55,SU,1292,D,1,IJK,SU9,87,82,217
37,A,17.08.2019 21:50,SU,1293,D,1,IJK,SU9,87,73,206
38,D,17.08.2019 23:25,SU,1294,D,1,IJK,SU9,87,72,205
39,A,17.08.2019 4:20,SU,1295,D,1,IJK,SU9,87,65,217
40,D,17.08.2019 17:50,SU,1316,D,1,MMK,SU9,87,70,217
41,A,17.08.2019 0:05,SU,1317,D,1,MMK,SU9,87,83,217
42,D,17.08.2019 7:15,SU,1320,D,1,MMK,SU9,87,78,190
43,A,17.08.2019 12:55,SU,1321,D,1,MMK,SU9,87,84,217
44,D,17.08.2019 16:20,SU,1330,D,1,ARH,SU9,87,74,213
45,A,17.08.2019 21:10,SU,1331,D,1,ARH,SU9,87,76,202
46,D,17.08.2019 8:10,SU,1332,D,1,ARH,SU9,87,83,190
47,A,17.08.2019 13:00,SU,1333,D,1,ARH,SU9,87,83,213
48,D,17.08.2019 0:05,SU,1334,D,1,ARH,SU9,87,76,217
49,A,17.08.2019 4:50,SU,1335,D,1,ARH,SU9,87,82,190
50,D,17.08.2019 8:55,SU,1350,D,1,VOZ,SU9,87,73,210
51,A,17.08.2019 12:20,SU,1351,D,1,VOZ,SU9,87,84,190
52,D,17.08.2019 23:50,SU,1352,D,1,VOZ,SU9,87,48,89
53,A,17.08.2019 7:30,SU,1353,D,1,VOZ,SU9,87,75,202
54,D,17.08.2019 6:35,SU,1356,D,1,RTW,SU9,87,75,210
55,A,17.08.2019 11:10,SU,1357,D,1,RTW,SU9,87,82,205
56,D,17.08.2019 19:15,SU,1358,D,1,RTW,SU9,87,65,205
57,A,17.08.2019 23:35,SU,1359,D,1,RTW,SU9,87,72,190
58,D,17.08.2019 9:45,SU,1360,D,1,RTW,SU9,87,78,89
59,A,17.08.2019 14:05,SU,1361,D,1,RTW,SU9,87,53,206
60,D,17.08.2019 16:40,SU,1362,D,1,RTW,SU9,87,41,88
61,A,17.08.2019 21:05,SU,1363,D,1,RTW,SU9,87,48,217
62,D,17.08.2019 17:35,SU,1364,D,1,STW,SU9,87,86,114
63,A,17.08.2019 23:15,SU,1365,D,1,STW,SU9,87,70,217
64,D,17.08.2019 9:00,SU,1366,D,1,STW,SU9,87,87,213
65,A,17.08.2019 14:25,SU,1367,D,1,STW,SU9,87,84,190
66,D,17.08.2019 21:10,SU,1368,D,1,STW,SU9,87,54,217
67,A,17.08.2019 5:15,SU,1369,D,1,STW,SU9,87,78,202
68,D,17.08.2019 10:25,SU,1370,D,1,EGO,SU9,87,76,205
69,A,17.08.2019 14:20,SU,1371,D,1,EGO,SU9,87,70,202
70,D,17.08.2019 23:55,SU,1372,D,1,EGO,SU9,87,37,206
71,A,17.08.2019 4:10,SU,1373,D,1,EGO,SU9,87,75,206
72,D,17.08.2019 19:40,SU,1374,D,1,EGO,SU9,87,66,89
73,A,17.08.2019 23:35,SU,1375,D,1,EGO,SU9,87,77,88
74,D,17.08.2019 11:45,SU,1376,D,1,RTW,SU9,87,83,217
75,A,17.08.2019 15:55,SU,1377,D,1,RTW,SU9,87,77,191
76,D,17.08.2019 15:25,SU,1378,D,1,RTW,SU9,87,41,213
77,A,17.08.2019 19:40,SU,1379,D,1,RTW,SU9,87,49,89
78,D,17.08.2019 13:55,SU,1388,D,1,ULV,SU9,87,44,88
79,A,17.08.2019 18:05,SU,1389,D,1,ULV,SU9,87,43,217
80,D,17.08.2019 8:40,SU,1390,D,1,SCW,SU9,87,87,205
81,A,17.08.2019 13:50,SU,1391,D,1,SCW,SU9,87,70,210
82,D,17.08.2019 12:50,SU,1392,D,1,PEE,SU9,87,83,217
83,A,17.08.2019 22:10,SU,1393,D,1,PEE,SU9,87,76,202
84,D,17.08.2019 22:40,SU,1396,D,1,SCW,SU9,87,79,213
85,A,17.08.2019 4:35,SU,1397,D,1,SCW,SU9,87,70,205
86,D,17.08.2019 15:20,SU,1404,D,1,SVX,SU9,87,68,89
87,A,17.08.2019 21:35,SU,1405,D,1,SVX,SU9,87,79,89
88,D,17.08.2019 0:40,SU,1428,D,1,MQF,SU9,87,78,206
89,A,17.08.2019 6:30,SU,1429,D,1,MQF,SU9,87,87,202
90,D,17.08.2019 14:45,SU,1434,D,1,MQF,SU9,87,77,88
91,A,17.08.2019 20:55,SU,1435,D,1,MQF,SU9,87,70,206
92,D,17.08.2019 21:30,SU,1466,D,1,SKX,SU9,87,40,89
93,A,17.08.2019 7:45,SU,1467,D,1,SKX,SU9,87,69,88
94,D,17.08.2019 1:30,SU,1508,D,1,TJM,SU9,87,87,190
95,A,17.08.2019 8:20,SU,1509,D,1,TJM,SU9,87,86,190
96,D,17.08.2019 7:25,SU,1642,D,1,ASF,SU9,87,84,217
97,A,17.08.2019 13:05,SU,1643,D,1,ASF,SU9,87,87,205
98,D,17.08.2019 14:25,SU,1680,D,1,NBC,SU9,87,76,89
99,A,17.08.2019 19:25,SU,1681,D,1,NBC,SU9,87,77,88
100,D,17.08.2019 8:35,SU,1830,I,3,MSQ,SU9,87,75,1
101,A,17.08.2019 12:15,SU,1831,I,2,MSQ,SU9,87,78,80
102,D,17.08.2019 18:10,SU,1832,I,3,MSQ,SU9,87,57,5
103,A,17.08.2019 21:55,SU,1833,I,2,MSQ,SU9,87,82,48
104,D,17.08.2019 22:00,SU,1834,I,3,MSQ,SU9,87,78,1
105,A,17.08.2019 7:40,SU,1835,I,2,MSQ,SU9,87,79,80
106,D,17.08.2019 13:25,SU,1840,I,3,MSQ,SU9,87,68,23
107,A,17.08.2019 17:35,SU,1841,I,2,MSQ,SU9,87,77,81
108,D,17.08.2019 16:50,SU,1842,I,3,MSQ,SU9,87,80,1
109,A,17.08.2019 20:45,SU,1843,I,2,MSQ,SU9,87,79,80
110,D,17.08.2019 9:20,SU,2034,I,5,OTP,SU9,87,61,38
111,A,17.08.2019 16:25,SU,2035,I,5,OTP,SU9,87,63,37
112,D,17.08.2019 20:55,SU,2038,I,5,OTP,SU9,87,58,1
113,A,17.08.2019 5:05,SU,2039,I,3,OTP,SU9,87,69,10
114,D,17.08.2019 11:50,SU,2100,I,3,RIX,SU9,87,83,26
115,A,17.08.2019 16:10,SU,2101,I,3,RIX,SU9,87,77,5
116,D,17.08.2019 22:55,SU,2118,I,3,RIX,SU9,87,59,25
117,A,17.08.2019 4:30,SU,2119,I,3,RIX,SU9,87,78,1
118,D,17.08.2019 16:10,SU,2164,I,3,VNO,SU9,87,70,2
119,A,17.08.2019 20:45,SU,2165,I,3,VNO,SU9,87,82,22
120,D,17.08.2019 10:40,SU,2206,I,3,HEL,SU9,87,81,1
121,A,17.08.2019 15:10,SU,2207,I,3,HEL,SU9,87,72,25
122,D,17.08.2019 18:55,SU,2262,I,5,TLL,SU9,87,61,34
123,A,17.08.2019 23:30,SU,2263,I,3,TLL,SU9,87,72,10
124,D,17.08.2019 11:25,SU,2344,I,3,DRS,SU9,87,78,2
125,A,17.08.2019 17:55,SU,2345,I,3,DRS,SU9,87,66,1
126,D,17.08.2019 6:45,SU,6,D,1,LED,73H,158,147,205
127,A,17.08.2019 10:40,SU,7,D,1,LED,73H,158,142,122
128,D,17.08.2019 8:20,SU,10,D,1,LED,32A,158,144,117
129,A,17.08.2019 12:00,SU,11,D,1,LED,32A,158,127,205
130,D,17.08.2019 9:40,SU,12,D,1,LED,73H,158,158,113
131,A,17.08.2019 13:25,SU,13,D,1,LED,73H,158,152,122
132,D,17.08.2019 10:55,SU,14,D,1,LED,32A,158,127,124
133,A,17.08.2019 14:40,SU,15,D,1,LED,32A,158,156,124
134,D,17.08.2019 11:30,SU,16,D,1,LED,73H,158,136,121
135,A,17.08.2019 15:10,SU,17,D,1,LED,73H,158,155,115
136,D,17.08.2019 12:25,SU,18,D,1,LED,73H,158,127,123
137,A,17.08.2019 16:25,SU,19,D,1,LED,73H,158,151,122
138,D,17.08.2019 13:35,SU,20,D,1,LED,32A,158,155,118
139,A,17.08.2019 17:20,SU,21,D,1,LED,32A,158,158,122
140,D,17.08.2019 15:20,SU,22,D,1,LED,32A,158,154,124
141,A,17.08.2019 19:00,SU,23,D,1,LED,32A,158,155,217
142,D,17.08.2019 17:10,SU,24,D,1,LED,32A,158,148,205
143,A,17.08.2019 20:50,SU,25,D,1,LED,32A,158,154,117
144,D,17.08.2019 18:20,SU,26,D,1,LED,32A,158,152,121
145,A,17.08.2019 22:00,SU,27,D,1,LED,32A,158,158,122
146,D,17.08.2019 19:40,SU,28,D,1,LED,73H,158,126,116
147,A,17.08.2019 23:45,SU,29,D,1,LED,73H,158,125,122
148,D,17.08.2019 20:30,SU,30,D,1,LED,73H,158,113,117
149,A,17.08.2019 0:25,SU,31,D,1,LED,73H,158,119,122
150,D,17.08.2019 21:00,SU,32,D,1,LED,32A,158,138,114
151,A,17.08.2019 7:20,SU,33,D,1,LED,32A,158,136,217
152,D,17.08.2019 23:15,SU,34,D,1,LED,32A,158,152,124
153,A,17.08.2019 6:25,SU,35,D,1,LED,32A,158,141,122
154,D,17.08.2019 1:30,SU,36,D,1,LED,32A,158,145,124
155,A,17.08.2019 5:05,SU,37,D,1,LED,32A,158,151,213
156,D,17.08.2019 16:25,SU,38,D,1,LED,32A,158,147,120
157,A,17.08.2019 20:00,SU,39,D,1,LED,32A,158,155,202
158,D,17.08.2019 11:55,SU,42,D,1,LED,32A,158,153,117
159,A,17.08.2019 15:35,SU,43,D,1,LED,32A,158,152,113
160,D,17.08.2019 21:30,SU,44,D,1,LED,32A,158,144,119
161,A,17.08.2019 1:10,SU,45,D,1,LED,32A,158,122,114
162,D,17.08.2019 0:40,SU,46,D,1,LED,73H,158,154,124
163,A,17.08.2019 8:30,SU,47,D,1,LED,73H,158,140,116
164,D,17.08.2019 6:55,SU,506,I,3,TLV,73H,158,142,31
165,A,17.08.2019 16:50,SU,507,I,3,TLV,73H,158,148,1
166,A,17.08.2019 6:20,SU,511,I,3,BEY,32A,158,140,32
167,D,17.08.2019 21:05,SU,512,I,2,IKA,32A,158,86,55
168,A,17.08.2019 5:55,SU,513,I,2,IKA,32A,158,147,58
169,D,17.08.2019 8:15,SU,520,I,5,DXB,73H,158,158,35
170,A,17.08.2019 20:50,SU,521,I,5,DXB,73H,158,147,39
171,D,17.08.2019 18:40,SU,524,I,5,DXB,73H,158,152,42
172,A,17.08.2019 6:50,SU,525,I,5,DXB,73H,158,136,37
173,D,17.08.2019 6:40,SU,1000,D,1,KGD,73H,158,152,127
174,A,17.08.2019 11:20,SU,1001,D,1,KGD,73H,158,158,115
175,D,17.08.2019 10:10,SU,1002,D,1,KGD,32A,158,127,115
176,A,17.08.2019 15:15,SU,1003,D,1,KGD,32A,158,127,122
177,D,17.08.2019 13:45,SU,1004,D,1,KGD,32A,158,157,123
178,A,17.08.2019 19:00,SU,1005,D,1,KGD,32A,158,127,190
179,D,17.08.2019 18:30,SU,1006,D,1,KGD,73H,158,127,114
180,A,17.08.2019 23:25,SU,1007,D,1,KGD,73H,158,127,121
181,D,17.08.2019 20:05,SU,1008,D,1,KGD,32A,158,156,113
182,A,17.08.2019 5:50,SU,1009,D,1,KGD,32A,158,127,114
183,D,17.08.2019 16:35,SU,1010,D,1,KGD,32A,158,153,121
184,A,17.08.2019 21:20,SU,1011,D,1,KGD,32A,158,127,121
185,D,17.08.2019 7:50,SU,1042,D,1,OGZ,32A,158,140,205
186,A,17.08.2019 14:20,SU,1043,D,1,OGZ,32A,158,154,117
187,D,17.08.2019 8:05,SU,1052,D,1,MCX,32A,158,125,118
188,A,17.08.2019 15:00,SU,1053,D,1,MCX,32A,158,127,118
189,D,17.08.2019 22:00,SU,1056,D,1,MCX,32A,158,59,88
190,A,17.08.2019 4:45,SU,1057,D,1,MCX,32A,158,155,115
191,D,17.08.2019 15:00,SU,1058,D,1,MCX,32A,158,97,215
192,A,17.08.2019 21:40,SU,1059,D,1,MCX,32A,158,127,118
193,D,17.08.2019 15:10,SU,1064,D,1,NAL,32A,158,119,205
194,A,17.08.2019 21:00,SU,1065,D,1,NAL,32A,158,153,127
195,D,17.08.2019 14:50,SU,1078,D,1,IGT,32A,158,115,115
196,A,17.08.2019 21:30,SU,1079,D,1,IGT,32A,158,127,119
197,D,17.08.2019 12:25,SU,1102,D,1,KRR,73H,158,147,120
198,A,17.08.2019 18:00,SU,1103,D,1,KRR,73H,158,127,117
199,D,17.08.2019 14:40,SU,1104,D,1,KRR,73H,158,109,123
200,A,17.08.2019 20:25,SU,1105,D,1,KRR,73H,158,154,115
201,D,17.08.2019 15:55,SU,1106,D,1,KRR,73H,158,115,122
202,A,17.08.2019 21:35,SU,1107,D,1,KRR,73H,158,156,120
203,D,17.08.2019 23:35,SU,1112,D,1,KRR,32A,158,98,114
204,A,17.08.2019 5:05,SU,1113,D,1,KRR,32A,158,149,118
205,D,17.08.2019 10:30,SU,1116,D,3,AER,32A,158,157,17
206,A,17.08.2019 17:05,SU,1117,D,3,AER,32A,158,157,13
207,D,17.08.2019 19:00,SU,1118,D,1,AER,73H,158,138,115
208,A,17.08.2019 0:55,SU,1119,D,1,AER,73H,158,157,124
209,D,17.08.2019 6:05,SU,1120,D,1,AER,73H,158,141,122
210,A,17.08.2019 12:00,SU,1121,D,1,AER,73H,158,127,114
211,D,17.08.2019 12:20,SU,1122,D,1,AER,73H,158,158,118
212,A,17.08.2019 18:30,SU,1123,D,1,AER,73H,158,156,115
213,D,17.08.2019 14:10,SU,1124,D,1,AER,32A,158,154,202
214,A,17.08.2019 20:10,SU,1125,D,1,AER,32A,158,127,190
215,D,17.08.2019 23:10,SU,1128,D,1,AER,73H,158,101,113
216,A,17.08.2019 5:20,SU,1129,D,1,AER,73H,158,157,119
217,D,17.08.2019 17:45,SU,1130,D,1,AER,32A,158,149,117
218,A,17.08.2019 23:50,SU,1131,D,1,AER,32A,158,127,115
219,D,17.08.2019 9:05,SU,1134,D,1,AER,73H,158,156,114
220,A,17.08.2019 15:25,SU,1135,D,1,AER,73H,158,156,114
221,D,17.08.2019 20:50,SU,1140,D,1,AER,32A,158,108,122
222,A,17.08.2019 9:20,SU,1141,D,1,AER,32A,158,156,114
223,D,17.08.2019 15:00,SU,1142,D,1,AAQ,32A,158,152,217
224,A,17.08.2019 20:40,SU,1143,D,1,AAQ,32A,158,148,119
225,D,17.08.2019 21:50,SU,1144,D,1,AAQ,73H,158,93,123
226,A,17.08.2019 8:25,SU,1145,D,1,AAQ,73H,158,155,122
227,D,17.08.2019 6:30,SU,1146,D,1,AAQ,32A,158,147,217
228,A,17.08.2019 12:05,SU,1147,D,1,AAQ,32A,158,153,191
229,D,17.08.2019 15:35,SU,1148,D,1,GDZ,32A,158,148,123
230,A,17.08.2019 21:15,SU,1149,D,1,GDZ,32A,158,143,116
231,D,17.08.2019 13:10,SU,1150,D,1,GDZ,32A,158,152,122
232,A,17.08.2019 19:05,SU,1151,D,1,GDZ,32A,158,150,205
233,D,17.08.2019 8:10,SU,1152,D,1,GDZ,32A,158,156,114
234,A,17.08.2019 14:10,SU,1153,D,1,GDZ,32A,158,143,115
235,D,17.08.2019 7:30,SU,1158,D,1,ROV,73H,158,129,123
236,A,17.08.2019 12:30,SU,1159,D,1,ROV,73H,158,150,122
237,D,17.08.2019 9:00,SU,1162,D,1,ROV,32A,158,128,124
238,A,17.08.2019 13:55,SU,1163,D,1,ROV,32A,158,150,120
239,D,17.08.2019 21:35,SU,1172,D,1,ASF,32A,158,158,124
240,A,17.08.2019 8:40,SU,1173,D,1,ASF,32A,158,154,121
241,D,17.08.2019 14:50,SU,1174,D,1,ASF,32A,158,146,119
242,A,17.08.2019 20:30,SU,1175,D,1,ASF,32A,158,127,121
243,D,17.08.2019 14:55,SU,1182,D,1,VOG,73H,158,149,117
244,A,17.08.2019 19:35,SU,1183,D,1,VOG,73H,158,157,121
245,D,17.08.2019 22:50,SU,1184,D,1,VOG,73H,158,146,190
246,A,17.08.2019 7:50,SU,1185,D,1,VOG,73H,158,148,121
247,D,17.08.2019 2:00,SU,1188,D,1,VOG,73H,158,151,115
248,A,17.08.2019 9:45,SU,1189,D,1,VOG,73H,158,152,122
249,D,17.08.2019 16:00,SU,1192,D,1,KZN,32A,158,149,191
250,A,17.08.2019 20:25,SU,1193,D,1,KZN,32A,158,70,213
251,D,17.08.2019 0:45,SU,1196,D,1,KZN,73H,158,139,114
252,A,17.08.2019 5:00,SU,1197,D,1,KZN,73H,158,78,88
253,A,17.08.2019 8:35,SU,1199,D,1,KZN,32A,158,70,88
254,D,17.08.2019 7:20,SU,1200,D,1,PEE,32A,158,157,124
255,A,17.08.2019 12:35,SU,1201,D,1,PEE,32A,158,155,121
256,D,17.08.2019 9:40,SU,1208,D,1,KUF,32A,158,150,217
257,A,17.08.2019 14:05,SU,1209,D,1,KUF,32A,158,150,127
258,D,17.08.2019 8:10,SU,1210,D,1,KUF,32A,158,140,124
259,A,17.08.2019 13:00,SU,1211,D,1,KUF,32A,158,141,118
260,D,17.08.2019 13:45,SU,1212,D,1,KUF,73H,158,118,127
261,A,17.08.2019 18:25,SU,1213,D,1,KUF,73H,158,126,123
262,D,17.08.2019 17:05,SU,1214,D,1,KUF,73H,158,121,116
263,A,17.08.2019 21:30,SU,1215,D,1,KUF,73H,158,126,191
264,D,17.08.2019 22:35,SU,1216,D,1,KUF,73H,158,115,205
265,A,17.08.2019 7:20,SU,1217,D,1,KUF,32A,158,139,120
266,D,17.08.2019 0:10,SU,1222,D,1,GOJ,73H,158,127,121
267,A,17.08.2019 6:15,SU,1223,D,1,GOJ,73H,158,132,213
268,D,17.08.2019 18:30,SU,1224,D,1,GOJ,73H,158,99,123
269,A,17.08.2019 21:50,SU,1225,D,1,GOJ,73H,158,78,88
270,D,17.08.2019 14:20,SU,1232,D,1,UFA,32A,158,158,124
271,A,17.08.2019 19:40,SU,1233,D,1,UFA,32A,158,151,113
272,D,17.08.2019 1:40,SU,1234,D,1,UFA,32A,158,149,113
273,A,17.08.2019 8:15,SU,1235,D,1,UFA,32A,158,152,120
274,D,17.08.2019 20:10,SU,1238,D,1,UFA,32A,158,109,114
275,A,17.08.2019 5:50,SU,1239,D,1,UFA,32A,158,150,117
276,D,17.08.2019 15:35,SU,1248,D,1,REN,73H,158,158,118
277,A,17.08.2019 21:10,SU,1249,D,1,REN,73H,158,136,114
278,D,17.08.2019 21:50,SU,1250,D,1,NBC,32A,158,88,127
279,A,17.08.2019 6:45,SU,1251,D,1,NBC,32A,158,90,115
280,D,17.08.2019 7:00,SU,1254,D,1,NBC,32A,158,129,122
281,A,17.08.2019 11:45,SU,1255,D,1,NBC,32A,158,135,116
282,D,17.08.2019 16:00,SU,1258,D,1,UFA,32A,158,126,114
283,A,17.08.2019 21:15,SU,1259,D,1,UFA,32A,158,135,123
284,D,17.08.2019 8:20,SU,1268,D,1,KZN,32A,158,144,127
285,A,17.08.2019 12:25,SU,1269,D,1,KZN,32A,158,49,210
286,D,17.08.2019 21:50,SU,1274,D,1,KRR,73H,158,100,114
287,A,17.08.2019 8:25,SU,1275,D,1,KRR,73H,158,149,124
288,D,17.08.2019 11:05,SU,1276,D,1,KZN,73H,158,149,123
289,A,17.08.2019 15:10,SU,1277,D,1,KZN,73H,158,125,127
290,D,17.08.2019 6:00,SU,1284,D,1,KRR,73H,158,132,121
291,A,17.08.2019 12:55,SU,1285,D,1,KRR,73H,158,158,120
292,D,17.08.2019 2:40,SU,1300,D,1,MRV,32A,158,139,121
293,A,17.08.2019 9:35,SU,1301,D,1,MRV,32A,158,150,116
294,D,17.08.2019 16:30,SU,1302,D,1,MRV,73H,158,136,123
295,A,17.08.2019 22:15,SU,1303,D,1,MRV,73H,158,151,115
296,D,17.08.2019 7:45,SU,1304,D,1,MRV,32A,158,144,89
297,A,17.08.2019 13:30,SU,1305,D,1,MRV,32A,158,158,191
298,D,17.08.2019 1:05,SU,1306,D,1,OVB,73H,158,150,115
299,A,17.08.2019 10:25,SU,1307,D,1,OVB,73H,158,158,115
300,D,17.08.2019 20:55,SU,1314,D,1,MRV,73H,158,131,127
301,A,17.08.2019 4:55,SU,1315,D,1,MRV,73H,158,152,123
302,D,17.08.2019 23:20,SU,1322,D,1,MMK,32A,158,127,117
303,A,17.08.2019 5:10,SU,1323,D,1,MMK,32A,158,146,120
304,D,17.08.2019 20:25,SU,1340,D,1,GOJ,32A,158,81,118
305,A,17.08.2019 23:45,SU,1341,D,1,GOJ,32A,158,71,206
306,D,17.08.2019 1:00,SU,1382,D,1,HMA,73H,158,154,121
307,A,17.08.2019 8:05,SU,1383,D,1,HMA,73H,158,147,127
308,D,17.08.2019 22:20,SU,1394,D,1,PEE,32A,158,126,118
309,A,17.08.2019 8:00,SU,1395,D,1,PEE,32A,158,155,123
310,D,17.08.2019 8:30,SU,1400,D,1,SVX,32A,158,153,121
311,A,17.08.2019 14:30,SU,1401,D,1,SVX,32A,158,151,116
312,D,17.08.2019 11:20,SU,1402,D,1,SVX,73H,158,145,120
313,A,17.08.2019 17:30,SU,1403,D,1,SVX,73H,158,154,124
314,D,17.08.2019 21:30,SU,1406,D,1,SVX,32A,158,140,117
315,A,17.08.2019 7:30,SU,1407,D,1,SVX,32A,158,156,191
316,D,17.08.2019 23:45,SU,1408,D,1,SVX,32A,158,128,123
317,A,17.08.2019 5:45,SU,1409,D,1,SVX,32A,158,156,116
318,D,17.08.2019 6:45,SU,1410,D,1,SVX,32A,158,127,113
319,A,17.08.2019 12:40,SU,1411,D,1,SVX,32A,158,157,116
320,D,17.08.2019 13:30,SU,1412,D,1,SVX,32A,158,147,124
321,A,17.08.2019 19:20,SU,1413,D,1,SVX,32A,158,157,123
322,D,17.08.2019 17:30,SU,1414,D,1,SVX,73H,158,150,118
323,A,17.08.2019 23:40,SU,1415,D,1,SVX,73H,158,149,114
324,D,17.08.2019 6:50,SU,1420,D,1,CEK,32A,158,152,121
325,A,17.08.2019 12:45,SU,1421,D,1,CEK,32A,158,150,113
326,D,17.08.2019 14:00,SU,1422,D,1,CEK,32A,158,156,117
327,A,17.08.2019 20:05,SU,1423,D,1,CEK,32A,158,127,191
328,D,17.08.2019 0:05,SU,1424,D,1,CEK,32A,158,151,122
329,A,17.08.2019 6:00,SU,1425,D,1,CEK,32A,158,156,203
330,D,17.08.2019 17:45,SU,1426,D,1,CEK,32A,158,140,115
331,A,17.08.2019 0:20,SU,1427,D,1,CEK,32A,158,155,121
332,D,17.08.2019 21:40,SU,1430,D,3,BAX,73H,158,135,14
333,A,17.08.2019 7:35,SU,1431,D,3,BAX,73H,158,155,18
334,D,17.08.2019 9:05,SU,1432,D,3,BAX,32A,158,144,13
335,A,17.08.2019 18:35,SU,1433,D,3,BAX,32A,158,157,13
336,D,17.08.2019 1:55,SU,1436,D,1,SVX,32A,158,127,123
337,A,17.08.2019 9:15,SU,1437,D,1,SVX,32A,158,157,117
338,D,17.08.2019 17:25,SU,1440,D,1,IKT,73H,158,132,120
339,A,17.08.2019 6:40,SU,1441,D,1,IKT,73H,158,157,116
340,D,17.08.2019 7:30,SU,1444,D,1,IKT,73H,158,130,127
341,A,17.08.2019 20:40,SU,1445,D,1,IKT,73H,158,157,113
342,D,17.08.2019 23:15,SU,1446,D,3,BAX,32A,158,151,1
343,A,17.08.2019 8:50,SU,1447,D,3,BAX,32A,158,127,18
344,D,17.08.2019 22:20,SU,1458,D,3,NOZ,73H,158,132,13
345,A,17.08.2019 8:25,SU,1459,D,3,NOZ,73H,158,155,15
346,D,17.08.2019 9:10,SU,1460,D,1,OVB,73H,158,147,116
347,A,17.08.2019 18:45,SU,1461,D,1,OVB,73H,158,127,121
348,D,17.08.2019 6:25,SU,1462,D,1,OVB,73H,158,156,116
349,A,17.08.2019 15:55,SU,1463,D,1,OVB,73H,158,157,123
350,D,17.08.2019 1:50,SU,1472,D,3,NJC,73H,158,154,13
351,A,17.08.2019 10:00,SU,1473,D,3,NJC,73H,158,154,16
352,D,17.08.2019 0:10,SU,1478,D,3,ABA,73H,158,151,16
353,A,17.08.2019 10:55,SU,1479,D,3,ABA,73H,158,127,16
354,D,17.08.2019 20:25,SU,1480,D,1,KJA,32A,158,144,120
355,A,17.08.2019 7:10,SU,1481,D,1,KJA,32A,158,158,113
356,D,17.08.2019 7:40,SU,1486,D,1,KJA,73H,158,141,120
357,A,17.08.2019 18:50,SU,1487,D,1,KJA,73H,158,157,206
358,D,17.08.2019 11:40,SU,1490,D,1,SLY,32A,158,115,114
359,A,17.08.2019 18:55,SU,1491,D,1,SLY,32A,158,112,191
360,D,17.08.2019 8:05,SU,1498,D,1,GRV,32A,158,132,215
361,A,17.08.2019 14:50,SU,1499,D,1,GRV,32A,158,158,119
